index,word,occupation
19,Commit*,pharmacist
35,Lead*,pharmacist
42,Compet*,pharmacist
73,Support*,pharmacist
78,Independen*,pharmacist
78,Depend*,pharmacist
42,Compet*,pharmacist
72,Support*,pharmacist
77,Independen*,pharmacist
77,Depend*,pharmacist
42,Compet*,pharmacist
73,Support*,pharmacist
78,Independen*,pharmacist
78,Depend*,pharmacist
6,Depend*,pharmacist
60,Individual*,pharmacist
80,Respon*,pharmacist
93,Connect*,pharmacist
157,Support*,pharmacist
161,Individual*,pharmacist
193,Individual*,pharmacist
221,Support*,pharmacist
222,Lead*,pharmacist
227,Commit*,pharmacist
5,Ambitio*,pharmacist
18,Trust*,pharmacist
65,Active,pharmacist
96,Trust*,pharmacist
166,Support*,pharmacist
6,Depend*,pharmacist
6,Depend*,pharmacist
67,Support*,pharmacist
97,Support*,pharmacist
109,Independen*,pharmacist
109,Depend*,pharmacist
115,Support*,pharmacist
6,Depend*,pharmacist
19,Independen*,pharmacist
19,Depend*,pharmacist
188,Support*,pharmacist
214,Independen*,pharmacist
214,Depend*,pharmacist
232,Empath*,pharmacist
19,Independen*,pharmacist
19,Depend*,pharmacist
203,Support*,pharmacist
229,Independen*,pharmacist
229,Depend*,pharmacist
247,Empath*,pharmacist
6,Independen*,pharmacist
6,Depend*,pharmacist
6,Independen*,pharmacist
6,Depend*,pharmacist
6,Depend*,pharmacist
6,Depend*,pharmacist
44,Independen*,pharmacist
44,Depend*,pharmacist
6,Depend*,pharmacist
18,Support*,pharmacist
47,Lead*,pharmacist
67,Support*,pharmacist
97,Support*,pharmacist
109,Independen*,pharmacist
109,Depend*,pharmacist
115,Support*,pharmacist
71,Support*,pharmacist
101,Support*,pharmacist
113,Independen*,pharmacist
113,Depend*,pharmacist
119,Support*,pharmacist
17,Trust*,pharmacist
43,Individual*,pharmacist
48,Support*,pharmacist
7,Depend*,pharmacist
6,Depend*,pharmacist
86,Her,pharmacist
7,Depend*,pharmacist
7,Depend*,pharmacist
6,Depend*,pharmacist
26,Connect*,pharmacist
61,Support*,pharmacist
133,Lead*,pharmacist
168,Lead*,pharmacist
246,Confident,pharmacist
251,Confident,pharmacist
254,Confident,pharmacist
26,Connect*,pharmacist
61,Support*,pharmacist
133,Lead*,pharmacist
168,Lead*,pharmacist
246,Confident,pharmacist
251,Confident,pharmacist
254,Confident,pharmacist
26,Connect*,pharmacist
61,Support*,pharmacist
133,Lead*,pharmacist
168,Lead*,pharmacist
246,Confident,pharmacist
251,Confident,pharmacist
254,Confident,pharmacist
26,Connect*,pharmacist
61,Support*,pharmacist
133,Lead*,pharmacist
168,Lead*,pharmacist
246,Confident,pharmacist
251,Confident,pharmacist
254,Confident,pharmacist
26,Connect*,pharmacist
61,Support*,pharmacist
133,Lead*,pharmacist
168,Lead*,pharmacist
246,Confident,pharmacist
251,Confident,pharmacist
254,Confident,pharmacist
26,Connect*,pharmacist
61,Support*,pharmacist
133,Lead*,pharmacist
168,Lead*,pharmacist
246,Confident,pharmacist
251,Confident,pharmacist
254,Confident,pharmacist
26,Connect*,pharmacist
61,Support*,pharmacist
133,Lead*,pharmacist
168,Lead*,pharmacist
246,Confident,pharmacist
251,Confident,pharmacist
254,Confident,pharmacist
26,Connect*,pharmacist
61,Support*,pharmacist
133,Lead*,pharmacist
168,Lead*,pharmacist
246,Confident,pharmacist
251,Confident,pharmacist
254,Confident,pharmacist
26,Connect*,pharmacist
61,Support*,pharmacist
133,Lead*,pharmacist
168,Lead*,pharmacist
246,Confident,pharmacist
251,Confident,pharmacist
254,Confident,pharmacist
26,Connect*,pharmacist
61,Support*,pharmacist
133,Lead*,pharmacist
168,Lead*,pharmacist
246,Confident,pharmacist
251,Confident,pharmacist
254,Confident,pharmacist
26,Connect*,pharmacist
61,Support*,pharmacist
133,Lead*,pharmacist
168,Lead*,pharmacist
246,Confident,pharmacist
251,Confident,pharmacist
254,Confident,pharmacist
26,Connect*,pharmacist
61,Support*,pharmacist
133,Lead*,pharmacist
168,Lead*,pharmacist
246,Confident,pharmacist
251,Confident,pharmacist
254,Confident,pharmacist
26,Connect*,pharmacist
61,Support*,pharmacist
133,Lead*,pharmacist
168,Lead*,pharmacist
246,Confident,pharmacist
251,Confident,pharmacist
254,Confident,pharmacist
96,Individual*,pharmacist
104,Support*,pharmacist
208,Compet*,pharmacist
26,Connect*,pharmacist
61,Support*,pharmacist
133,Lead*,pharmacist
168,Lead*,pharmacist
246,Confident,pharmacist
251,Confident,pharmacist
254,Confident,pharmacist
26,Connect*,pharmacist
61,Support*,pharmacist
133,Lead*,pharmacist
168,Lead*,pharmacist
246,Confident,pharmacist
251,Confident,pharmacist
254,Confident,pharmacist
96,Individual*,pharmacist
104,Support*,pharmacist
210,Compet*,pharmacist
26,Connect*,pharmacist
61,Support*,pharmacist
133,Lead*,pharmacist
168,Lead*,pharmacist
246,Confident,pharmacist
251,Confident,pharmacist
254,Confident,pharmacist
26,Connect*,pharmacist
61,Support*,pharmacist
133,Lead*,pharmacist
168,Lead*,pharmacist
246,Confident,pharmacist
251,Confident,pharmacist
254,Confident,pharmacist
26,Connect*,pharmacist
61,Support*,pharmacist
133,Lead*,pharmacist
168,Lead*,pharmacist
246,Confident,pharmacist
251,Confident,pharmacist
254,Confident,pharmacist
26,Connect*,pharmacist
61,Support*,pharmacist
133,Lead*,pharmacist
168,Lead*,pharmacist
246,Confident,pharmacist
251,Confident,pharmacist
254,Confident,pharmacist
26,Connect*,pharmacist
61,Support*,pharmacist
133,Lead*,pharmacist
168,Lead*,pharmacist
246,Confident,pharmacist
251,Confident,pharmacist
254,Confident,pharmacist
26,Connect*,pharmacist
61,Support*,pharmacist
133,Lead*,pharmacist
168,Lead*,pharmacist
246,Confident,pharmacist
251,Confident,pharmacist
254,Confident,pharmacist
19,Commit*,pharmacist
35,Lead*,pharmacist
42,Compet*,pharmacist
73,Support*,pharmacist
78,Independen*,pharmacist
78,Depend*,pharmacist
42,Compet*,pharmacist
72,Support*,pharmacist
77,Independen*,pharmacist
77,Depend*,pharmacist
42,Compet*,pharmacist
73,Support*,pharmacist
78,Independen*,pharmacist
78,Depend*,pharmacist
6,Depend*,pharmacist
60,Individual*,pharmacist
80,Respon*,pharmacist
93,Connect*,pharmacist
157,Support*,pharmacist
161,Individual*,pharmacist
193,Individual*,pharmacist
221,Support*,pharmacist
222,Lead*,pharmacist
227,Commit*,pharmacist
5,Ambitio*,pharmacist
18,Trust*,pharmacist
65,Active,pharmacist
96,Trust*,pharmacist
166,Support*,pharmacist
6,Depend*,pharmacist
6,Depend*,pharmacist
67,Support*,pharmacist
97,Support*,pharmacist
109,Independen*,pharmacist
109,Depend*,pharmacist
115,Support*,pharmacist
6,Depend*,pharmacist
19,Independen*,pharmacist
19,Depend*,pharmacist
188,Support*,pharmacist
214,Independen*,pharmacist
214,Depend*,pharmacist
232,Empath*,pharmacist
19,Independen*,pharmacist
19,Depend*,pharmacist
203,Support*,pharmacist
229,Independen*,pharmacist
229,Depend*,pharmacist
247,Empath*,pharmacist
6,Independen*,pharmacist
6,Depend*,pharmacist
6,Independen*,pharmacist
6,Depend*,pharmacist
6,Depend*,pharmacist
6,Depend*,pharmacist
44,Independen*,pharmacist
44,Depend*,pharmacist
6,Depend*,pharmacist
18,Support*,pharmacist
47,Lead*,pharmacist
67,Support*,pharmacist
97,Support*,pharmacist
109,Independen*,pharmacist
109,Depend*,pharmacist
115,Support*,pharmacist
71,Support*,pharmacist
101,Support*,pharmacist
113,Independen*,pharmacist
113,Depend*,pharmacist
119,Support*,pharmacist
17,Trust*,pharmacist
43,Individual*,pharmacist
48,Support*,pharmacist
7,Depend*,pharmacist
6,Depend*,pharmacist
86,Her,pharmacist
7,Depend*,pharmacist
7,Depend*,pharmacist
6,Depend*,pharmacist
26,Connect*,pharmacist
61,Support*,pharmacist
133,Lead*,pharmacist
168,Lead*,pharmacist
246,Confident,pharmacist
251,Confident,pharmacist
254,Confident,pharmacist
26,Connect*,pharmacist
61,Support*,pharmacist
133,Lead*,pharmacist
168,Lead*,pharmacist
246,Confident,pharmacist
251,Confident,pharmacist
254,Confident,pharmacist
26,Connect*,pharmacist
61,Support*,pharmacist
133,Lead*,pharmacist
168,Lead*,pharmacist
246,Confident,pharmacist
251,Confident,pharmacist
254,Confident,pharmacist
26,Connect*,pharmacist
61,Support*,pharmacist
133,Lead*,pharmacist
168,Lead*,pharmacist
246,Confident,pharmacist
251,Confident,pharmacist
254,Confident,pharmacist
26,Connect*,pharmacist
61,Support*,pharmacist
133,Lead*,pharmacist
168,Lead*,pharmacist
246,Confident,pharmacist
251,Confident,pharmacist
254,Confident,pharmacist
26,Connect*,pharmacist
61,Support*,pharmacist
133,Lead*,pharmacist
168,Lead*,pharmacist
246,Confident,pharmacist
251,Confident,pharmacist
254,Confident,pharmacist
26,Connect*,pharmacist
61,Support*,pharmacist
133,Lead*,pharmacist
168,Lead*,pharmacist
246,Confident,pharmacist
251,Confident,pharmacist
254,Confident,pharmacist
26,Connect*,pharmacist
61,Support*,pharmacist
133,Lead*,pharmacist
168,Lead*,pharmacist
246,Confident,pharmacist
251,Confident,pharmacist
254,Confident,pharmacist
26,Connect*,pharmacist
61,Support*,pharmacist
133,Lead*,pharmacist
168,Lead*,pharmacist
246,Confident,pharmacist
251,Confident,pharmacist
254,Confident,pharmacist
26,Connect*,pharmacist
61,Support*,pharmacist
133,Lead*,pharmacist
168,Lead*,pharmacist
246,Confident,pharmacist
251,Confident,pharmacist
254,Confident,pharmacist
26,Connect*,pharmacist
61,Support*,pharmacist
133,Lead*,pharmacist
168,Lead*,pharmacist
246,Confident,pharmacist
251,Confident,pharmacist
254,Confident,pharmacist
26,Connect*,pharmacist
61,Support*,pharmacist
133,Lead*,pharmacist
168,Lead*,pharmacist
246,Confident,pharmacist
251,Confident,pharmacist
254,Confident,pharmacist
26,Connect*,pharmacist
61,Support*,pharmacist
133,Lead*,pharmacist
168,Lead*,pharmacist
246,Confident,pharmacist
251,Confident,pharmacist
254,Confident,pharmacist
96,Individual*,pharmacist
104,Support*,pharmacist
208,Compet*,pharmacist
26,Connect*,pharmacist
61,Support*,pharmacist
133,Lead*,pharmacist
168,Lead*,pharmacist
246,Confident,pharmacist
251,Confident,pharmacist
254,Confident,pharmacist
26,Connect*,pharmacist
61,Support*,pharmacist
133,Lead*,pharmacist
168,Lead*,pharmacist
246,Confident,pharmacist
251,Confident,pharmacist
254,Confident,pharmacist
96,Individual*,pharmacist
104,Support*,pharmacist
210,Compet*,pharmacist
26,Connect*,pharmacist
61,Support*,pharmacist
133,Lead*,pharmacist
168,Lead*,pharmacist
246,Confident,pharmacist
251,Confident,pharmacist
254,Confident,pharmacist
26,Connect*,pharmacist
61,Support*,pharmacist
133,Lead*,pharmacist
168,Lead*,pharmacist
246,Confident,pharmacist
251,Confident,pharmacist
254,Confident,pharmacist
26,Connect*,pharmacist
61,Support*,pharmacist
133,Lead*,pharmacist
168,Lead*,pharmacist
246,Confident,pharmacist
251,Confident,pharmacist
254,Confident,pharmacist
26,Connect*,pharmacist
61,Support*,pharmacist
133,Lead*,pharmacist
168,Lead*,pharmacist
246,Confident,pharmacist
251,Confident,pharmacist
254,Confident,pharmacist
26,Connect*,pharmacist
61,Support*,pharmacist
133,Lead*,pharmacist
168,Lead*,pharmacist
246,Confident,pharmacist
251,Confident,pharmacist
254,Confident,pharmacist
26,Connect*,pharmacist
61,Support*,pharmacist
133,Lead*,pharmacist
168,Lead*,pharmacist
246,Confident,pharmacist
251,Confident,pharmacist
254,Confident,pharmacist
19,Commit*,pharmacist
35,Lead*,pharmacist
42,Compet*,pharmacist
73,Support*,pharmacist
78,Independen*,pharmacist
78,Depend*,pharmacist
42,Compet*,pharmacist
72,Support*,pharmacist
77,Independen*,pharmacist
77,Depend*,pharmacist
42,Compet*,pharmacist
73,Support*,pharmacist
78,Independen*,pharmacist
78,Depend*,pharmacist
6,Depend*,pharmacist
60,Individual*,pharmacist
80,Respon*,pharmacist
93,Connect*,pharmacist
157,Support*,pharmacist
161,Individual*,pharmacist
193,Individual*,pharmacist
221,Support*,pharmacist
222,Lead*,pharmacist
227,Commit*,pharmacist
5,Ambitio*,pharmacist
18,Trust*,pharmacist
65,Active,pharmacist
96,Trust*,pharmacist
166,Support*,pharmacist
6,Depend*,pharmacist
6,Depend*,pharmacist
67,Support*,pharmacist
97,Support*,pharmacist
109,Independen*,pharmacist
109,Depend*,pharmacist
115,Support*,pharmacist
6,Depend*,pharmacist
19,Independen*,pharmacist
19,Depend*,pharmacist
188,Support*,pharmacist
214,Independen*,pharmacist
214,Depend*,pharmacist
232,Empath*,pharmacist
19,Independen*,pharmacist
19,Depend*,pharmacist
203,Support*,pharmacist
229,Independen*,pharmacist
229,Depend*,pharmacist
247,Empath*,pharmacist
6,Independen*,pharmacist
6,Depend*,pharmacist
6,Independen*,pharmacist
6,Depend*,pharmacist
6,Depend*,pharmacist
6,Depend*,pharmacist
44,Independen*,pharmacist
44,Depend*,pharmacist
6,Depend*,pharmacist
18,Support*,pharmacist
47,Lead*,pharmacist
67,Support*,pharmacist
97,Support*,pharmacist
109,Independen*,pharmacist
109,Depend*,pharmacist
115,Support*,pharmacist
71,Support*,pharmacist
101,Support*,pharmacist
113,Independen*,pharmacist
113,Depend*,pharmacist
119,Support*,pharmacist
17,Trust*,pharmacist
43,Individual*,pharmacist
48,Support*,pharmacist
7,Depend*,pharmacist
6,Depend*,pharmacist
86,Her,pharmacist
7,Depend*,pharmacist
7,Depend*,pharmacist
6,Depend*,pharmacist
26,Connect*,pharmacist
61,Support*,pharmacist
133,Lead*,pharmacist
168,Lead*,pharmacist
246,Confident,pharmacist
251,Confident,pharmacist
254,Confident,pharmacist
26,Connect*,pharmacist
61,Support*,pharmacist
133,Lead*,pharmacist
168,Lead*,pharmacist
246,Confident,pharmacist
251,Confident,pharmacist
254,Confident,pharmacist
26,Connect*,pharmacist
61,Support*,pharmacist
133,Lead*,pharmacist
168,Lead*,pharmacist
246,Confident,pharmacist
251,Confident,pharmacist
254,Confident,pharmacist
26,Connect*,pharmacist
61,Support*,pharmacist
133,Lead*,pharmacist
168,Lead*,pharmacist
246,Confident,pharmacist
251,Confident,pharmacist
254,Confident,pharmacist
26,Connect*,pharmacist
61,Support*,pharmacist
133,Lead*,pharmacist
168,Lead*,pharmacist
246,Confident,pharmacist
251,Confident,pharmacist
254,Confident,pharmacist
26,Connect*,pharmacist
61,Support*,pharmacist
133,Lead*,pharmacist
168,Lead*,pharmacist
246,Confident,pharmacist
251,Confident,pharmacist
254,Confident,pharmacist
26,Connect*,pharmacist
61,Support*,pharmacist
133,Lead*,pharmacist
168,Lead*,pharmacist
246,Confident,pharmacist
251,Confident,pharmacist
254,Confident,pharmacist
26,Connect*,pharmacist
61,Support*,pharmacist
133,Lead*,pharmacist
168,Lead*,pharmacist
246,Confident,pharmacist
251,Confident,pharmacist
254,Confident,pharmacist
26,Connect*,pharmacist
61,Support*,pharmacist
133,Lead*,pharmacist
168,Lead*,pharmacist
246,Confident,pharmacist
251,Confident,pharmacist
254,Confident,pharmacist
26,Connect*,pharmacist
61,Support*,pharmacist
133,Lead*,pharmacist
168,Lead*,pharmacist
246,Confident,pharmacist
251,Confident,pharmacist
254,Confident,pharmacist
26,Connect*,pharmacist
61,Support*,pharmacist
133,Lead*,pharmacist
168,Lead*,pharmacist
246,Confident,pharmacist
251,Confident,pharmacist
254,Confident,pharmacist
26,Connect*,pharmacist
61,Support*,pharmacist
133,Lead*,pharmacist
168,Lead*,pharmacist
246,Confident,pharmacist
251,Confident,pharmacist
254,Confident,pharmacist
26,Connect*,pharmacist
61,Support*,pharmacist
133,Lead*,pharmacist
168,Lead*,pharmacist
246,Confident,pharmacist
251,Confident,pharmacist
254,Confident,pharmacist
96,Individual*,pharmacist
104,Support*,pharmacist
208,Compet*,pharmacist
26,Connect*,pharmacist
61,Support*,pharmacist
133,Lead*,pharmacist
168,Lead*,pharmacist
246,Confident,pharmacist
251,Confident,pharmacist
254,Confident,pharmacist
26,Connect*,pharmacist
61,Support*,pharmacist
133,Lead*,pharmacist
168,Lead*,pharmacist
246,Confident,pharmacist
251,Confident,pharmacist
254,Confident,pharmacist
96,Individual*,pharmacist
104,Support*,pharmacist
210,Compet*,pharmacist
26,Connect*,pharmacist
61,Support*,pharmacist
133,Lead*,pharmacist
168,Lead*,pharmacist
246,Confident,pharmacist
251,Confident,pharmacist
254,Confident,pharmacist
26,Connect*,pharmacist
61,Support*,pharmacist
133,Lead*,pharmacist
168,Lead*,pharmacist
246,Confident,pharmacist
251,Confident,pharmacist
254,Confident,pharmacist
26,Connect*,pharmacist
61,Support*,pharmacist
133,Lead*,pharmacist
168,Lead*,pharmacist
246,Confident,pharmacist
251,Confident,pharmacist
254,Confident,pharmacist
26,Connect*,pharmacist
61,Support*,pharmacist
133,Lead*,pharmacist
168,Lead*,pharmacist
246,Confident,pharmacist
251,Confident,pharmacist
254,Confident,pharmacist
26,Connect*,pharmacist
61,Support*,pharmacist
133,Lead*,pharmacist
168,Lead*,pharmacist
246,Confident,pharmacist
251,Confident,pharmacist
254,Confident,pharmacist
26,Connect*,pharmacist
61,Support*,pharmacist
133,Lead*,pharmacist
168,Lead*,pharmacist
246,Confident,pharmacist
251,Confident,pharmacist
254,Confident,pharmacist
19,Commit*,pharmacist
35,Lead*,pharmacist
42,Compet*,pharmacist
73,Support*,pharmacist
78,Independen*,pharmacist
78,Depend*,pharmacist
42,Compet*,pharmacist
72,Support*,pharmacist
77,Independen*,pharmacist
77,Depend*,pharmacist
42,Compet*,pharmacist
73,Support*,pharmacist
78,Independen*,pharmacist
78,Depend*,pharmacist
6,Depend*,pharmacist
60,Individual*,pharmacist
80,Respon*,pharmacist
93,Connect*,pharmacist
157,Support*,pharmacist
161,Individual*,pharmacist
193,Individual*,pharmacist
221,Support*,pharmacist
222,Lead*,pharmacist
227,Commit*,pharmacist
5,Ambitio*,pharmacist
18,Trust*,pharmacist
65,Active,pharmacist
96,Trust*,pharmacist
166,Support*,pharmacist
6,Depend*,pharmacist
6,Depend*,pharmacist
67,Support*,pharmacist
97,Support*,pharmacist
109,Independen*,pharmacist
109,Depend*,pharmacist
115,Support*,pharmacist
6,Depend*,pharmacist
19,Independen*,pharmacist
19,Depend*,pharmacist
188,Support*,pharmacist
214,Independen*,pharmacist
214,Depend*,pharmacist
232,Empath*,pharmacist
19,Independen*,pharmacist
19,Depend*,pharmacist
203,Support*,pharmacist
229,Independen*,pharmacist
229,Depend*,pharmacist
